iter	Passed	Remaining
0	1	137
1	2	119
2	3	113
3	4	114
4	5	109
5	6	106
6	7	105
7	8	102
8	9	99
9	10	97
10	11	95
11	12	93
12	13	91
13	14	90
14	15	88
15	16	87
16	17	86
17	18	84
18	19	83
19	20	82
20	21	81
21	22	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	56	47
54	57	46
55	58	45
56	59	45
57	60	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	88	18
83	89	17
84	90	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
